altitude,latitude,longitude,distance_to_coast,depth_or_elevation
1354225.2428,66.147275,126.23230799999999,-92702.0,318.0
1354225.4424,66.147121,126.370144,-98776.0,543.0
1354225.6114,66.146836,126.507981,-104857.0,272.0
1354225.7499,66.146421,126.645823,-110950.0,194.0
1354225.8579,66.14587399999999,126.78366299999999,-117054.0,318.0
1354225.9354,66.145197,126.921495,-122980.0,578.0
1354225.9823,66.14438799999999,127.05931899999999,-128924.0,774.0
1354225.9987,66.143449,127.19713499999999,-134890.0,625.0
1354225.9846,66.14237899999999,127.33494599999999,-140877.0,1123.0
1354225.94,66.141178,127.47274999999999,-146881.0,624.0
1354225.8648,66.13984599999999,127.61051699999999,-152900.0,650.0
1354225.7591,66.138384,127.74826499999999,-158932.0,827.0
1354225.6229,66.136791,127.886001,-164977.0,705.0
1354225.4563,66.13506699999999,128.023702,-171031.0,727.0
1354225.2591,66.133214,128.16134599999998,-177094.0,1050.0
1354225.0315,66.13122899999999,128.298962,-183156.0,1309.0
1354224.7734,66.129115,128.436553,-189220.0,1210.0
1354224.4848,66.126869,128.574122,-195293.0,1310.0
1354224.1657,66.124494,128.71166,-201373.0,1264.0
1354223.8162,66.121988,128.84915999999998,-207460.0,1153.0
1354223.4362,66.11935199999999,128.986629,-213552.0,1401.0
1354223.0258,66.116585,129.124069,-219650.0,1087.0
1354222.5849,66.113689,129.26148,-225753.0,1719.0
1354222.1135,66.11066199999999,129.398863,-231662.0,1624.0
1354221.6116,66.107505,129.536214,-235801.0,1295.0
1354221.0794,66.104218,129.673489,-239880.0,1316.0
1354220.5168,66.100802,129.810721,-243720.0,1250.0
1354219.9237,66.097256,129.947911,-247644.0,1319.0
1354219.3002,66.09358,130.085063,-251651.0,1091.0
1354218.6461,66.089773,130.222215,-255746.0,1095.0
1354217.9615,66.085836,130.359329,-259923.0,944.0
1354217.2465,66.08176999999999,130.496392,-264179.0,949.0
1354216.501,66.077573,130.63341699999998,-268510.0,793.0
1354215.7251,66.073247,130.770399,-272733.0,884.0
1354214.9187,66.06879099999999,130.907336,-276706.0,853.0
1354214.0818,66.064206,131.044228,-280759.0,677.0
1354213.2144,66.05949,131.18107799999999,-284889.0,476.0
1354212.3164,66.054645,131.317895,-289092.0,374.0
